id,dictionary,reading,meanings,partOfSpeech,verbType,adjectiveType,jlptLevel,frequency
1142,"蚊","か","[""mosquito; 蚊にたくさん刺されました。; I got a lot of mosquito bites.""]","noun","","","N3",1
1143,"我","われ","[""I; me; occ. 和 for わ; われに自由を与えよ。しからずんば死を与えよ。; Give me liberty or give me death.""]","noun","","","N1",1
1144,"我慢","がまん","[""endurance; patience; perseverance; bearing (with something); この寒さは我慢出来ないな。; I can't put up with this cold.""]","noun","suru","","N2",1
1145,"画家","がか","[""painter; artist; その画家は、いわば永遠の少年だ。; The artist is eternally a boy.""]","noun","","","N2",1
1146,"芽","め","[""sprout; shoot; bud; 木々は芽を出し始めた。; The trees are beginning to bud.""]","noun","","","N2",1
1147,"介護","かいご","[""nursing; care; caregiving; caring; その老婦人は回復しつつあり、病院から派遣された看護婦によって充分な介護を受けている。; The old woman is getting better and is being taken good care of by a nurse from the hospital.""]","noun","suru","","N1",1
1148,"介入","かいにゅう","[""intervention; このテーマに関するほとんどの研究では、立法府の介入が悪影響をもたらしたということが示されている。; It has been shown in most studies on this subject that intervention of the legislature had adverse effects.""]","noun","suru","","N1",1
1149,"介抱","かいほう","[""nursing; looking after; 他人任せはダメ。ライフセーバーではないが、俺自身が介抱してあげないと。; I can't leave this to others. I'm no lifesaver but if I don't help her myself....""]","noun","suru","","N1",1
1150,"会う","あう","[""to meet; to encounter; to see; 逢う is often used for close friends, etc. and may be associated with drama or pathos; 遭う may have an undesirable nuance; 前に彼にあったのを覚えている。; I remember seeing him before.""]","verb","godan","","N3",1
1151,"遭う","あう","[""to meet; to encounter; to see; 逢う is often used for close friends, etc. and may be associated with drama or pathos; 遭う may have an undesirable nuance; 前に彼にあったのを覚えている。; I remember seeing him before.""]","verb","godan","","N2",1
1152,"会員","かいいん","[""member; the membership; 会員は５人に減った。; The number of members decreased to five.""]","noun","","","N2",1
1153,"会議","かいぎ","[""meeting; conference; session; assembly; council; convention; congress; 会議に彼は現れましたか。; Did he show up at the meeting?""]","noun","suru","","",1
1154,"会議室","かいぎしつ","[""conference room; council room; 会議室は現在使用中です。; The meeting room is in use now.""]","noun","","","",1
1155,"会計","かいけい","[""accounting; finance; account; reckoning; 会計係は会計が不足しているのがわかった。; The treasurer was short in his accounts.""]","noun","suru","","N2",1
1156,"会見","かいけん","[""interview; audience; meeting; (viewing) party; 我が党の党首は他の党首達と会見し、その問題について話をした。; The leader of our party met with the other leaders and talked about the problem.""]","noun","suru","","N1",1
1157,"会合","かいごう","[""meeting; assembly; gathering; これはとても大切な会合だ。; This is a very important meeting.""]","noun","suru","","N2",1
1158,"会社","かいしゃ","[""company; corporation; firm; 彼の努力は会社の成長に貢献した。; His effort contributed to my company's growth.""]","noun","","","N5",1
1159,"会場","かいじょう","[""assembly hall; meeting place; venue; site; grounds; 私たちは会場の後ろに座った。; We sat at the back of the hall.""]","noun","","","",1
1160,"会談","かいだん","[""talks (i.e. formal discussions); conference; meeting; 会談は２日間続いた。; The talks continued for two days.""]","noun","suru","","N1",1
1161,"会話","かいわ","[""conversation; talk; chat; 機知は会話に趣を添える。; Wit gives zest to conversation.""]","noun","suru","","",1
1162,"解く","とく; ほどく","[""to untie; to unfasten; to unwrap; to undo; to unbind; to unpack""]","verb","godan","","N2",1
1163,"解ける","とける; ほどける","[""to be solved; to be worked out; いちばん頭の良い生徒でさえ、その問題は解けなかった。; Even the brightest student couldn't solve the problem.""]","verb","ichidan","","N2",1
1164,"解決","かいけつ","[""settlement; solution; resolution; その問題はまだ解決されていない。; The problem is not settled yet.""]","noun","suru","","N2",1
1165,"解散","かいさん","[""breaking up (a meeting, gathering, etc.); dispersal (e.g. of a crowd); 警察は、群衆を解散させた。; The police broke up the crowd.; 会は八時に解散した。; The meeting broke up at eight.""]","noun","suru","","N2",1
1166,"解釈","かいしゃく","[""interpretation; explanation; reading; construction; それは２通りに解釈できる。; That reads two different ways.""]","noun","suru","","N2",1
1167,"解除","かいじょ","[""termination (of a contract); cancellation; rescinding; rescission""]","noun","suru","","N1",1
1168,"解説","かいせつ","[""explanation; commentary; exposition; elucidation; 彼の解説がわかった人はほとんどいなかった。; Few people understood his comment.""]","noun","suru","","N2",1
1169,"解答","かいとう","[""answer; solution; あなたの解答には私たちとしてはまったく不満だ。; Your answer is anything but satisfactory to us.""]","noun","suru","","N2",1
1170,"解放","かいほう","[""release; unleashing; liberation; emancipation; setting free; 人質は解放されるだろう。; The hostages will be released.""]","noun","suru","","N2",1
1171,"解剖","かいぼう","[""dissection; autopsy; postmortem examination; 死体解剖の結果、絞殺と判明しました。; The postmortem showed that she had been strangled.""]","noun","suru","","N1",1
1172,"回り道","まわりみち","[""detour; circuitous route; diversion; 学校へ行く道が冠水してしまって、回り道をしていかなければならなかった。; The street to school was flooded so we had to go around.""]","noun","suru","","N2",1
1173,"回収","かいしゅう","[""collection; recovery; withdrawal; retrieval; いよいよ賭け金を回収するときがきました。; It's time to call in our chips.""]","noun","suru","","N1",1
1174,"回数","かいすう","[""number of times; frequency; count; いつもより尿の回数が多いです。; I urinate more often than usual.""]","noun","","","N2",1
1175,"回数券","かいすうけん","[""coupon tickets; discount tickets; book of tickets; 回数券を下さい。; May I have coupon tickets?""]","noun","","","N2",1
1176,"回送","かいそう","[""forwarding; sending on; redirecting (e.g. mail)""]","noun","suru","","N1",1
1177,"回転","かいてん","[""rotation; revolution; turn; spin; こまはぐるぐる回転した。; The top went around and around.""]","noun","suru","","N2",1
1178,"回答","かいとう","[""reply; answer; これらの回答は、原因と結果をはき違えている。; These answers confuse cause with consequence.""]","noun","suru","","N2",1
1179,"回復","かいふく","[""restoration; recovery; rehabilitation; return; improvement; 回復はほとんど不可能だった。; Recovery was almost impossible.""]","noun","suru","","N2",1
1180,"回覧","かいらん","[""circulation (esp. of documents); sending round; 彼はその手紙を全員に回覧した。; He circulated the letter among the members.""]","noun","suru","","N1",1
1181,"回路","かいろ","[""circuit; 保護回路を飛ばしてしまおう。; Let's bypass the protection circuit.""]","noun","","","N1",1
1182,"壊す","こわす","[""to break; to destroy; to demolish; その事が彼のすべての夢を壊した。; That destroyed all his dreams.""]","verb","godan","","",1
1183,"壊れる","こわれる","[""to be broken; to break; to fall apart; to collapse; to be destroyed; to be damaged; あの壊れた花瓶は祖父のものです。; That broken vase is my grandfather's.""]","verb","ichidan","","",1
1184,"快い","こころよい","[""pleasant; agreeable; comfortable; refreshing; 私は昨夜快く眠った。; I slept comfortably last night.""]","adjective","","i_adjective","N1",1
1185,"快晴","かいせい","[""clear weather; cloudless weather; good weather; 今日は快晴だ。これで一日中仕事が出来る。; It's fair today, so we can work all day.""]","noun","","","N2",1
1186,"快適","かいてき","[""pleasant; agreeable; comfortable; これはたいそう快適な暖炉ですね。; This is a very nice fireplace.""]","noun","","na_adjective","N2",1
1187,"怪獣","かいじゅう","[""monster; 信じてもらえないだろうけど、茂みの中から怪獣が現れたんだよ。; Believe it or not, a monster emerged from the bush.""]","noun","","","N1",1
1188,"悔やむ","くやむ","[""to mourn; to lament; あの方があんなに若くして亡くなったことは悔やまれます。; It is regrettable that she should have died so young.""]","verb","godan","","N2",1
1189,"懐かしい","なつかしい","[""dear (old); fondly remembered; beloved; missed; nostalgic; 懐かしい１２小節のブルース。; There go the twelve bars blues.""]","adjective","","i_adjective","N2",1
1190,"懐く","なつく","[""to become attached (to); to take (to); to become affectionate (with); to be tamed; to get close (e.g. to someone emotionally); to become intimate (with); この犬はこの猫よりも私たちになつく。; This dog is more attached to us than this cat.""]","verb","godan","","N1",1
1191,"改まる","あらたまる","[""to be renewed; to change; 長年の習慣はなかなか改まらない。; Old habits die hard.""]","verb","godan","","N1",1
1192,"改めて","あらためて","[""another time; again; over again; once again; anew; 改めて言う事はない。; I have nothing particular to say.""]","adverb","","","N2",1
1193,"改める","あらためる","[""to change; to alter; to revise; to replace; どうして考えを改めたのですか。; What made you change your mind?""]","verb","ichidan","","N2",1
1194,"改悪","かいあく","[""changing (something) for the worse; disimprovement; deterioration""]","noun","suru","","N1",1
1195,"改革","かいかく","[""reform; reformation; reorganization; 「冬の時代」が大学改革の起爆剤となってくれればと思う。; So-called \""winter time\"" is expected to enhance the college reform.""]","noun","suru","","N1",1
1196,"改札","かいさつ","[""examination of tickets; 最近駅の改札あたりで、平気でイチャイチャしてる若い奴等多くなったよなあ。; Lately you see more young couples making out at the train station ticket gates acting as though nobody in the world existed.""]","noun","suru","","N2",1
1197,"改修","かいしゅう","[""repair; improvement""]","noun","suru","","N1",1
1198,"改正","かいせい","[""revision; amendment; alteration; 時刻表が改正された。; The timetable has been revised.""]","noun","suru","","N2",1
1199,"改善","かいぜん","[""betterment; improvement; ２国間の貿易上のアンバランスを改善しなければならない。; The trade imbalance between two nations should be improved.""]","noun","suru","","N2",1
1200,"改造","かいぞう","[""remodeling; remodelling; reconstruction; conversion; alteration; renovation; modification; reshuffling (e.g. a cabinet); reorganization; restructuring; 地下室を仕事場に改造した。; The basement has been made over into a workshop.""]","noun","suru","","N2",1
1201,"改定","かいてい","[""revision (of a rule, price, etc.); alteration; change; see: ; 改訂;  revision (of text); alteration; change""]","noun","suru","","N1",1
1202,"改訂","かいてい","[""revision (of text); alteration; change; see: ; 改定;  revision (of a rule, price, etc.); alteration; change; 時刻表が改訂された。; The timetable has been revised.""]","noun","suru","","N1",1
1203,"改良","かいりょう","[""improvement; reform; コンピューターはたえず改良されている。; Computers are constantly being improved.""]","noun","suru","","N1",1
1204,"海","うみ","[""sea; ocean; waters; 何としても海をひと目みたいものだ。; I ache for a sight of the sea.""]","noun","","","N5",1
1205,"海運","かいうん","[""maritime transport; shipping; 海運会社に勤めています。; I work for a shipping company.""]","noun","","","N1",1
1206,"海外","かいがい","[""foreign; abroad; overseas; 君はどれくらいよく海外に行きますか。; How often do you go abroad?""]","noun","","","N2",1
1207,"海岸","かいがん","[""seashore; coast; seaside; waterfront; beach; このバスは、海岸に行きますか。; Does this bus go to the beach?""]","noun","","","",1
1208,"海峡","かいきょう","[""channel (e.g. between two land masses); strait; アメリカンインディアンの祖先は、ベーリング海峡を経由してアジアから米大陸へ渡った。; The ancestors of Native Americans went to the continent from Asia by way of the Bering Strait.""]","noun","","","N1",1
1209,"海水浴","かいすいよく","[""swimming in the ocean; sea bathing; seawater bath; going for a dip in the ocean; ハワイでは１年中海水浴が楽しめる。; In Hawaii, we can enjoy swimming in the ocean all year round.""]","noun","","","N2",1
1210,"海抜","かいばつ","[""height above sea level; エヴェレスト山は海抜29,002フィートです。; Mt. Everest is 29,002 feet above sea level.""]","noun","","","N1",1
1211,"海洋","かいよう","[""ocean; sea; ロブスターは海洋動物の一種に属します。; Lobsters belong to a class of marine animals.""]","noun","","","N2",1
1212,"海流","かいりゅう","[""ocean current; 海流に変化が起きたのだろうか。; Has a change in ocean currents occurred?""]","noun","","","N1",1
1213,"海路","かいろ","[""sea route; 陸路を運ぶのは大変ですが、海路で運ぶのは簡単です。; It's very difficult to transport them overland, but simple to do so by sea.""]","noun","","","N1",1
1214,"灰","はい","[""ash; ashes; すべては燃えて灰となった。; Everything was burnt to ashes.""]","noun","","","N2",1
1215,"灰皿","はいざら","[""ashtray; その缶は灰皿の代わりになる。; The can will do for an ashtray.""]","noun","","","N5",1
1216,"灰色","はいいろ","[""grey; gray; ashen; 私の父は青と灰色のネクタイを持っている。; My father has a blue and gray tie.""]","noun","","","N2",1
1217,"皆","みな","[""everyone; everybody; all; みんな is less formal and more emphatic; 生徒達はみんな家に帰りました。; All the students have gone home.; 彼女はみんなに愛されている。; She is loved by everybody.""]","noun","","","",1
1218,"皆さん","みなさん","[""all; everyone; everybody; 皆さんじっとしていてください。; Could you keep still, everyone?""]","noun","","","N5",1
1219,"絵","え","[""picture; drawing; painting; sketch; あの絵を壁に掛けなさい。; Hang that picture on the wall.""]","noun","","","N3",1
1220,"絵の具","えのぐ","[""paint; coloring materials; colors; colours; 赤い絵の具に青い絵の具を混ぜなさい。; Blend the red paint with the blue paint.""]","noun","","","N2",1
1221,"絵画","かいが","[""painting; picture; その絵画を見たらおもしろかった。; I found the picture interesting.""]","noun","","","N2",1
1222,"開く","ひらく; あく","[""to open; to undo; to unseal; to unpack; 先週、私達は舞踏会を開きました。; We gave a ball last week.""]","verb","godan","","N3",1
1223,"開ける","あける","[""to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock; あなたの手紙を間違ってあけてしまってすいませんでした。; I'm sorry I opened your mail by mistake.; ３人の少年達はその建物の扉を開けました。; The three boys opened the doors of the building.""]","verb","ichidan","","N3",1
1224,"明ける","あける","[""to empty; to remove; to make space; to make room; esp. 空ける; 財布の中身をこの袋に空けなさい。; Empty the purse into this bag.""]","verb","ichidan","","N2",1
1225,"開会","かいかい","[""opening of a meeting; 国会は午後二時に開会されました。; The Diet session convened at 2pm.""]","noun","suru","","N2",1
1226,"開催","かいさい","[""holding (a conference, exhibition, etc.); opening; hosting (e.g. the Olympics); 彼らは一連の音楽会を開催した。; They gave a series of concerts.""]","noun","suru","","N1",1
1227,"開始","かいし","[""start; commencement; beginning; initiation; antonym: ; 終了;  end; close; conclusion; termination; 何時に搭乗開始ですか。; What time does boarding begin?""]","noun","suru","","N2",1
1228,"開拓","かいたく","[""reclamation (e.g. of wasteland); cultivation; development; 新たな入植者達がその広大な荒野を開拓した。; The newcomers cultivated the immense wilderness.""]","noun","suru","","N1",1
1229,"開通","かいつう","[""opening (of a new road, railway, etc.); going into operation (e.g. telephone communication); beginning services; 橋は開通している。; The bridge is open to traffic.""]","noun","suru","","N2",1
1230,"開発","かいはつ","[""development; cultivation; application; エンドユーザーの視野にたった商品開発が必須。; Our new product development efforts must be done from the end user's viewpoint.""]","noun","suru","","N1",1
1231,"開放","かいほう","[""opening (a door, window, etc.); leaving open""]","noun","suru","","N2",1
1232,"階級","かいきゅう","[""(social) class; 彼は中流階級の出だ。; He comes from the middle class.""]","noun","","","N1",1
1233,"階層","かいそう","[""class; level; stratum; layer; hierarchy; 階層問題に対する、消費社会論の著である。; It is a literary work confronting the class problem of a consumer society.""]","noun","","","N1",1
1234,"階段","かいだん","[""stairs; stairway; staircase; その階段を上ってはいけません。; You must not go up the stairs.""]","noun","","","N5",1
1235,"貝","かい","[""shellfish; 私が手にしてるのは貝の化石です。; What I have in my hand is a fossil seashell.""]","noun","","","N2",1
1236,"貝殻","かいがら","[""seashell; shell; トムは美しい貝がらを浜辺でひろった。; Tom picked up some pretty shells on the beach.""]","noun","","","N1",1
1237,"外","そと; ほか","[""outside; exterior; あるものの意味がわかるためには、そのものの外に出て、離れたところからそれを経験することができなければならない。; You have to be outside something, able to experience it from a distance, before it makes sense.""]","noun","","","N5",1
1238,"他","ほか; た","[""another place; some other place; somewhere else; outside; 彼はほかに情報を求めることにした。; He decided to seek information elsewhere.; 日本では琵琶湖ほど大きな湖はほかにない。; No other lake in Japan is as large as Lake Biwa.""]","noun","","","N2",1
1239,"外す","はずす","[""to remove; to take off; to detach; to unfasten; to undo; 彼は眼鏡を外した。; He took off his glasses.""]","verb","godan","","N2",1
1240,"外れる","はずれる","[""to be disconnected; to get out of place; to be off; to be out (e.g. of gear); バックミラーがはずれてしまいました。; The rear-view mirror fell off.""]","verb","ichidan","","N2",1
1241,"外科","げか","[""surgery (branch of medicine); see: ; 内科;  1. internal medicine; これらの患者には外科的な処置だけでは十分とは言い難い。; For these patients, surgical treatment is far from being satisfactory.""]","noun","","","N2",1
1242,"外貨","がいか","[""foreign currency; foreign money; foreign exchange; どこで外貨の交換をすることができますか。; Where can I get my money exchanged?""]","noun","","","N1",1
1243,"外観","がいかん","[""outward appearance; exterior appearance; outward show; looks; Windows Media Playerの新しいスキンを入手し、プレーヤーの外観を変えてみましょう。; Why don't you try out getting a new Windows Media Player skin and changing the player's look?""]","noun","","","N1",1
1244,"外交","がいこう","[""diplomacy; 英語は外交や観光事業に有効である。; English is useful in diplomacy and tourism.""]","noun","","","N2",1
1245,"外国","がいこく","[""foreign country; あなたは外国の本を持っていますか。; Do you have any foreign books?""]","noun","","","N5",1
1246,"外国人","がいこくじん","[""foreigner; foreign citizen; foreign national; alien; non-Japanese; see: ; 内国人;  national; citizen; native; 「居住外国人」とは、どういう意味ですか。; What does \""resident alien\"" mean?""]","noun","","","N5",1
1247,"外出","がいしゅつ","[""going out; outing; leaving (one's home, office, etc.); ヒーターをつけたまま外出した。; I went out with the heater on.""]","noun","suru","","N2",1
1248,"外相","がいしょう","[""Foreign Minister; 外相は、戦争は避けられないと言った。; The Foreign Minister said that war was inevitable.""]","noun","","","N1",1
1249,"外部","がいぶ","[""outside (e.g. of a building); exterior; 秘密が外部に漏れた。; The secret leaked out.""]","noun","","","N2",1
1250,"外方","そっぽ","[""the other way; see: ; そっぽを向く;  1. to turn away; to face away; to ignore""]","noun","","","N1",1
1251,"外来","がいらい","[""foreign; imported; 君は外来思想に偏見を抱いているようだ。; You seem to be prejudiced against ideas that come from foreign countries.""]","noun","","","N1",1
1252,"咳","せき","[""cough; coughing; tussis; せきには塩水のうがいが効く。; Gargling with salt water helps stop coughing.; 母親はトムの咳のことを心配している。; Tom's mother worries about his cough.""]","noun","","","N3",1
1253,"害","がい","[""injury; harm; evil influence; damage; ワインは本来害にならない。; Wine is not harmful in itself.""]","noun","","","N2",1
1254,"崖","がけ","[""cliff; precipice; その崖は道路の上に突き出ている。; The cliff hangs over the road.""]","noun","","","N1",1
1255,"概説","がいせつ","[""overview; outline; rough summary""]","noun","suru","","N1",1
1256,"概念","がいねん","[""general idea; concept; notion; 彼の福祉の概念はかなり観念的だ。; His notion of welfare is pretty abstract.""]","noun","","","N1",1
1257,"概略","がいりゃく","[""outline; summary; gist; in brief; 彼に計画の概略を述べてもらおう。; Ask him to sketch out his plan.""]","noun","","","N1",1
1258,"概論","がいろん","[""introduction; outline; general remarks""]","noun","suru","","N2",1
1259,"蓋","ふた","[""cover; lid; cap; このふたはあのジャーのふただ。; This lid belongs with that jar.""]","noun","","","N2",1
1260,"街角","まちかど","[""street corner; あの町かどに公衆電話ボックスがある。; There is a telephone booth at the corner of the street.""]","noun","","","N2",1
1261,"街頭","がいとう","[""(on the) street; 警察は街頭デモを阻止しようとした。; The police tried to stop the street demonstration.""]","noun","","","N1",1
1262,"街道","かいどう","[""highway (esp. one existing from the Edo period); main road; 街道沿いのドライブインで昼食をとった。; We had lunch at a roadside restaurant.""]","noun","","","N1",1
1263,"該当","がいとう","[""corresponding to; being applicable to; being relevant to; coming under; falling under; fulfilling (requirements); meeting (conditions); qualifying for; この条件に該当する人は誰もいない。; There is nobody who fulfils these conditions.""]","noun","suru","","N1",1
1264,"垣根","かきね","[""hedge; fence; よい垣根はよい隣人をつくる。; Good fences make good neighbors.""]","noun","","","N2",1
1265,"各自","かくじ","[""each (person); everyone; individual; respective; そのチームの選手は各自めいめいのバットを持っている。; Each player on the team has his own bat.""]","noun","","","N2",1
1266,"各種","かくしゅ","[""every kind; all sorts; その店は各種ワインをたくさん在庫している。; The store has a large stock of wines.""]","noun","","","N1",1
1267,"各地","かくち","[""each place; every place; various places; all parts (of the country, world, etc.); 私はイギリス各地を見物した。; I visited many parts of England.""]","noun","","","N2",1
1268,"拡散","かくさん","[""spreading; disseminating; scattering; 科学者たちはエイズ・ウイルスの拡散をくい止めようと戦っています。; Scientists are fighting to stem the spread of the AIDS virus.""]","noun","suru","","N1",1
1269,"拡充","かくじゅう","[""expansion; 教育施設を拡充する金をもっと多くと望んでいる。; People want more money to expand educational institutions.""]","noun","suru","","N2",1
1270,"拡大","かくだい","[""expansion; extension; 今年は事業が５０％拡大した。; The business has expanded by 50% this year.""]","noun","suru","","N2",1
1271,"拡張","かくちょう","[""expansion; extension; enlargement; 学校の体育館が拡張された。; The school gymnasium was enlarged.""]","noun","suru","","N2",1
1272,"格","かく","[""status; position; rank""]","noun","","","N1",1
1273,"格差","かくさ","[""qualitative difference; disparity; gap; 裕福な人々と貧しい人々との格差はますます広がっている。; The gap between rich and poor is getting wider.""]","noun","","","N1",1
1274,"格別","かくべつ","[""particular; special; exceptional; especial; 暑い日の生ビールの味はまた格別だ。; Draft beer tastes especially good on a hot day.""]","noun","","na_adjective","N2",1
1275,"核","かく","[""stone (of a fruit); pit; pip""]","noun","","","N1",1
1276,"殻","から","[""shell; husk; hull; pod; chaff; 飲み物はヤシの実の殻に入れてあった。; The drinks were served in coconut shells.""]","noun","","","N2",1
1277,"獲得","かくとく","[""acquisition; possession; その子供達２人が賞を獲得した。; Both of the children won a prize.""]","noun","suru","","N1",1
1278,"獲物","えもの","[""prey; catch; kill; game; ワシは獲物めがけて急降下した。; The eagle dived at its prey.""]","noun","","","N1",1
1279,"確かめる","たしかめる","[""to make sure; to check; to ascertain; to confirm; to verify; 窓が閉まっているか確かめとけ。; See that the window is closed.""]","verb","ichidan","","N2",1
1280,"確実","かくじつ","[""certain; sure; definite; reliable; sound; solid; safe; secure; これは遅いけど確実な方法だ。; This is a slow but certain way.""]","noun","","na_adjective","N2",1
1281,"確信","かくしん","[""conviction; belief; confidence; 私は君の援助を確信している。; I am assured of your help.""]","noun","suru","","N1",1
1282,"確定","かくてい","[""decision; settlement; confirmation; establishment; 月曜までに確定見積もりが必要です。; We need a firm quotation by Monday.""]","noun","suru","","N1",1
1283,"確認","かくにん","[""confirmation; verification; validation; review; check; affirmation; identification; 予約は確認されています。; I have a confirmed reservation.""]","noun","suru","","N2",1
1284,"確保","かくほ","[""securing; obtaining; ensuring; guarantee; maintaining; お庭の方にも縁台を並べれば、かなり座席数を確保できそうだなーと思いました。; I thought that if we lined up benches in the garden as well, we could achieve quite a seating capacity.""]","noun","suru","","N1",1
1285,"確率","かくりつ","[""probability; likelihood; chances; キャンセル待ちで乗れる確率はどれくらいですか。; If I wait, what's the possibility I can get a seat?""]","noun","","","N2",1
1286,"確立","かくりつ","[""establishment; settlement; どうやって最良の形式を確立するかという問題はまだ解決されていない。; The question of how to establish the optimal formula is still open.""]","noun","suru","","N1",1
1287,"覚え","おぼえ","[""memory; sense; experience; どこかであなたにお会いした覚えがあります。; I remember seeing you somewhere.""]","noun","","","N1",1
1288,"覚える","おぼえる","[""to memorize; to memorise; to commit to memory; to learn by heart; to bear in mind; to remember; あなたが知っている事を全部彼に話す事を覚えておいてください。; You must remember to tell him all that you know.""]","verb","ichidan","","N5",1
1289,"覚ます","さます","[""to awaken; to arouse from sleep; その物音が私を眠りから覚まさせた。; The noise awoke me from my sleep.""]","verb","godan","","N2",1
1290,"覚める","さめる","[""to wake; to wake up; その叫び声で私は眠りからさめた。; The cry roused me from my sleep.""]","verb","ichidan","","N2",1
1291,"覚悟","かくご","[""readiness; (mental) preparedness; 兵士たちは故国のために死ぬ覚悟が出来ていた。; The soldiers were ready to die for their country.""]","noun","suru","","N2",1
1292,"角","かく; かど; つの; すみ","[""angle; ３角形のすべての角の和は１８０度に等しい。; The sum of all the angles in a triangle equals 180 degrees.""]","noun","","","N5",1
1293,"角度","かくど","[""angle; それでは角度が小さすぎよう。; The angle would be too narrow.""]","noun","","","N2",1
1294,"隔たる","へだたる","[""to be distant; その村は海から何キロも隔たっている。; The village is many kilometers away from the seashore.""]","verb","godan","","N1",1
1295,"隔てる","へだてる","[""to separate (by distance, time, etc.); to isolate; to partition; to divide; アイルランドとイギリスは海によって隔てられている。; Ireland and England are separated by the sea.""]","verb","ichidan","","N2",1
1296,"革新","かくしん","[""reform; innovation""]","noun","suru","","N1",1
1297,"革命","かくめい","[""revolution; 鉄道はある種の革命を引き起こした。; The railroad provoked a kind of revolution.""]","noun","","","N1",1
1298,"学ぶ","まなぶ","[""to learn; to study; to take lessons in; いくつになっても学ぶことはある。; One is never too old to learn.""]","verb","godan","","N3",1
1299,"学科","がっか","[""subject (of study); course of study; 数学は私の好きな学科です。; Mathematics is my favorite subject.""]","noun","","","N2",1
1300,"学会","がっかい","[""learned society; scientific society; academy; academic meeting; academic conference; 盛田教授は化学学会で司会を務めた。; Professor Morita presided at a meeting of the Chemical Society.""]","noun","","","N2",1
1301,"学期","がっき","[""school term; semester; 前学期は成績がよかった。; I had a good report last term.""]","noun","","","N2",1
1302,"学級","がっきゅう","[""(school) class; 私たちは同じ学級で英語を勉強します。; We study English in the same class.""]","noun","","","N2",1
1303,"学芸","がくげい","[""arts and sciences; liberal arts; 大抵の学芸は、最初に基礎をしっかりやっておかないと、その先スムーズに身に付けることができません。; With most of the arts, if you don't get the basics down properly then it is difficult to acquire further skills.""]","noun","","","N1",1
1304,"学校","がっこう","[""school; この学校はたくさんの生徒がいます。; This school has many students.""]","noun","","","N5",1
1305,"学士","がくし","[""university graduate; bachelor""]","noun","","","N1",1
1306,"学者","がくしゃ","[""scholar; academic; scientist; 彼は立派な学者になるだろう。; He will be a wonderful scholar.""]","noun","","","N2",1
1307,"学習","がくしゅう","[""learning; study; これは生物の学習法としてはあまりよくないと思う。; I don't think this is a good approach to biology.""]","noun","suru","","N2",1
1308,"学術","がくじゅつ","[""science; learning; scholarship; arts and sciences; academic pursuits; 彼は学術会議に出席した。; He attended the scientific conference.""]","noun","","","N2",1
1309,"学生","がくせい","[""student (esp. a university student); 学生の半数が休んでいた。; Half the students were absent.""]","noun","","","N5",1
1310,"学説","がくせつ","[""theory; この学説は３部から成り立っている。; This theory consists of three parts.""]","noun","","","N1",1
1311,"学年","がくねん","[""academic year; school year; 第１学年には５つクラスがあった。; There were five classes in the first year.""]","noun","","","N2",1
1312,"学問","がくもん","[""study; scholarship; learning; education; knowledge; 少しばかりの学問は危険なもの。; A little learning is a dangerous thing.""]","noun","suru","","N2",1
1313,"学力","がくりょく","[""scholarly ability; scholarship; knowledge; literary ability; しかし、アメリカではふつう、スポーツチームは腕で選ばれ、学業のコースは学力によって選ばれます。; However, in America, sports teams are generally chosen by skill, and academic courses by ability.""]","noun","","","N2",1
1314,"学歴","がくれき","[""academic background; academic credentials; academic record; 給料は、経験と学歴に基づいて決まります。; Pay will be based on experience and educational background.""]","noun","","","N1",1
1315,"楽","らく","[""comfort; ease; relief; (at) peace; relaxation""]","noun","","na_adjective","N2",1
1316,"楽しい","たのしい","[""enjoyable; fun; pleasant; happy; delightful; あなたと一緒にいて楽しかった。; I really enjoyed your company.""]","adjective","","i_adjective","N5",1
1317,"楽しみ","たのしみ","[""enjoyment; pleasure; amusement; delight; joy; fun; diversion; hobby; 水泳が私の楽しみの１つです。; Swimming is one thing I enjoy.""]","noun","","na_adjective","",1
1318,"楽観","らっかん","[""optimism; taking an optimistic view; antonym: ; 悲観;  pessimism; (taking a) gloomy view; discouragement; despondency; despair; disappointment; 父は私の楽観を乱さないことにした。; My father chose not to disturb my optimism.""]","noun","suru","","N1",1
1319,"楽器","がっき","[""musical instrument; 楽器をなにか演奏しますか。; Do you play a musical instrument?""]","noun","","","N3",1
1320,"楽譜","がくふ","[""score; sheet music; 彼女は楽譜なしにピアノを弾く。; She plays the piano by ear.""]","noun","","","N1",1
1321,"額","がく; ひたい","[""(picture) frame; framed picture; ボブは装飾された額にその肖像画を収めたけれど、上下さかさまだった。; Bob mounted the portrait in a fancy frame, but it was upside down.""]","noun","","","N2",1
1322,"顎","あご","[""jaw; chin; 私は彼のあごに１発食らわしてやった。; I landed him a blow on the chin.""]","noun","","","N1",1
1323,"掛ける","かける","[""to hang up (e.g. a coat, a picture on the wall); to let hang; to suspend (from); to hoist (e.g. sail); to raise (e.g. flag); see: ; 壁にかける;  to hang (something) on the wall; コートをハンガーに掛けておきなさい。; Put your coat on a hanger.""]","verb","ichidan","","N3",1
1324,"裂く","さく","[""to tear; to rip up; その少女はその布を裂いた。; The girl tore the cloth.""]","verb","godan","","N2",1
1325,"割る","わる","[""to divide""]","verb","godan","","N2",1
